load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,246.0912,248.0898,o,1,248.0899,248.0901,,0,,,248.0901,248.0907,,248.0907,248.0908,,0,71,71,71,1,cvmt/test_items/t72.jpeg,o,0.6495,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,248.0911,250.0898,o,1,250.0899,250.09,,0,,,250.0901,250.0908,,250.0908,250.0909,,0,72,72,72,1,cvmt/test_items/t73.jpeg,o,1.1151,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,250.0912,252.0889,n,0,252.089,252.0892,,0,,,252.0892,252.0897,,252.0898,252.0898,,0,73,73,73,1,cvmt/test_items/t74.jpeg,o,1.2846,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,252.0901,254.0889,n,0,254.0889,254.0892,,0,,,254.0893,254.0898,,254.0898,254.0899,,0,74,74,74,1,cvmt/test_items/t75.jpeg,o,1.4332,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,254.0902,256.0898,o,1,256.0899,256.0901,,0,,,256.0901,256.0907,,256.0907,256.0908,,0,75,75,75,1,cvmt/test_items/t76.jpeg,o,1.0976,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,256.0911,258.0898,n,0,258.0899,258.0901,,0,,,258.0901,258.0907,,258.0907,258.0908,,0,76,76,76,1,cvmt/test_items/t77.jpeg,o,1.2282,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,258.0911,260.089,o,1,260.089,260.0892,,0,,,260.0892,260.0897,,260.0898,260.09,,0,77,77,77,1,cvmt/test_items/t78.jpeg,o,0.7661,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,260.0902,262.0898,n,0,262.0899,262.0901,,0,,,262.0901,262.0907,,262.0907,262.0908,,0,78,78,78,1,cvmt/test_items/t79.jpeg,o,0.6987,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,262.0911,264.0898,n,1,264.0898,264.0901,,0,,,264.0901,264.0907,,264.0907,264.0908,,0,79,79,79,1,cvmt/test_items/t80.jpeg,n,1.2135,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,264.0911,266.0898,n,0,266.0899,266.0902,,0,,,266.0903,266.0908,,266.0908,266.0909,,0,80,80,80,1,cvmt/test_items/t81.jpeg,o,0.9543,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,266.0913,268.0897,o,1,268.0898,268.09,,0,,,268.0901,268.0905,,268.0905,268.0905,,0,81,81,81,1,cvmt/test_items/t82.jpeg,o,0.729,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,268.0909,270.0899,n,0,270.0899,270.0903,,0,,,270.0903,270.0908,,270.0908,270.0909,,0,82,82,82,1,cvmt/test_items/t83.jpeg,o,0.8795,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,270.0913,272.0897,o,1,272.0897,272.09,,0,,,272.09,272.0905,,272.0905,272.0906,,0,83,83,83,1,cvmt/test_items/t84.jpeg,o,0.6511,,,,,,,,,,,,,,,,,,,,,,,
