load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,157.1577,159.1562,n,1,0.733,,159.1562,159.1565,,0,159.1566,159.157,,159.157,159.1571,,0,66,66,66,1,cvmt/test_items/t67.jpeg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,159.1575,161.1562,n,0,0.7928,,161.1563,161.1565,,0,161.1565,161.1571,,161.1572,161.1572,,0,67,67,67,1,cvmt/test_items/t68.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,161.1576,163.1558,n,0,0.7508,,163.1559,163.1559,,0,163.156,163.1562,,163.1562,163.1562,,0,68,68,68,1,cvmt/test_items/t69.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,163.1563,165.1563,n,0,0.799,,165.1564,165.1567,,0,165.1568,165.1573,,165.1574,165.1574,,0,69,69,69,1,cvmt/test_items/t70.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,165.1577,167.1563,o,0,0.846,,167.1563,167.1566,,0,167.1566,167.1572,,167.1572,167.1573,,0,70,70,70,1,cvmt/test_items/t71.jpeg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,167.1577,169.1562,o,1,0.7884,,169.1563,169.1565,,0,169.1566,169.1571,,169.1571,169.1572,,0,71,71,71,1,cvmt/test_items/t72.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,169.1575,171.1564,o,1,0.714,,171.1564,171.1567,,0,171.1568,171.1574,,171.1574,171.1575,,0,72,72,72,1,cvmt/test_items/t73.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,171.1578,173.1563,n,0,0.7639,,173.1564,173.1566,,0,173.1567,173.1572,,173.1572,173.1573,,0,73,73,73,1,cvmt/test_items/t74.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,173.1578,175.1564,n,0,0.7466,,175.1565,175.1567,,0,175.1568,175.1573,,175.1573,175.1575,,0,74,74,74,1,cvmt/test_items/t75.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,175.1578,177.1563,n,0,0.7308,,177.1563,177.1566,,0,177.1566,177.1572,,177.1572,177.1573,,0,75,75,75,1,cvmt/test_items/t76.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
