load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent,brocantoIntro.started,brocantoIntro.stopped,vocabInstr.started,vocabInstr.stopped,vocabLearnTrial.started,vocabLearnTrial.stopped,vocabLearnTrials.thisRepN,vocabLearnTrials.thisTrialN,vocabLearnTrials.thisN,vocabLearnTrials.thisIndex,vocabLearnTrials.ran,word,img,audio_vocab,version,vocabRepeat.started,vocabRepeat.stopped,vrepeat_key_resp.keys,vrepeat_key_resp.rt,vrepeat_key_resp.duration,vocabRep.thisRepN,vocabRep.thisTrialN,vocabRep.thisN,vocabRep.thisIndex,vocabRep.ran,vocabTestInstr.started,vocabTestInstr.stopped,vocabTest.started,vocabTest.stopped,vtest_key_resp.keys,vtest_key_resp.rt,vtest_key_resp.duration,vocabTest_fb.started,vocabTest_fb.stopped,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,too_fast_punish.ran,vocabTestTrials.thisRepN,vocabTestTrials.thisTrialN,vocabTestTrials.thisN,vocabTestTrials.thisIndex,vocabTestTrials.ran,experimentFlow.thisRepN,experimentFlow.thisTrialN,experimentFlow.thisN,experimentFlow.thisIndex,experimentFlow.ran,experimentFlow.order,session,mem_test_reps,cvmt,cvmtP1_reps,cvmtP2_reps,asrt,crtt,cspan,english_ajt_reps,brocanto_learn_reps,brocanto_gjt_reps,brocantoLearnPrax.thisRepN,brocantoLearnPrax.thisTrialN,brocantoLearnPrax.thisN,brocantoLearnPrax.thisIndex,brocantoLearnPrax.ran,brocantoLearnPrax.order,brocantoResources,vocabPhase.thisRepN,vocabPhase.thisTrialN,vocabPhase.thisN,vocabPhase.thisIndex,vocabPhase.ran,vocabPhase.order,vocabTestTrials.order
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,63.8658,65.8653,n,0,65.8653,65.8654,,0,,,65.8654,65.8657,,65.8657,65.8657,,0,11,11,11,1,cvmt/test_items/t12.jpeg,o,0.6853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,65.8658,67.8653,o,1,67.8653,67.8655,,0,,,67.8655,67.8657,,67.8657,67.8657,,0,12,12,12,1,cvmt/test_items/t13.jpeg,o,0.5167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,67.8659,69.8653,n,0,69.8653,69.8655,,0,,,69.8655,69.8657,,69.8657,69.8657,,0,13,13,13,1,cvmt/test_items/t14.jpeg,o,0.5996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,69.8658,71.8654,n,0,71.8654,71.8655,,0,,,71.8655,71.8657,,71.8657,71.8658,,0,14,14,14,1,cvmt/test_items/t15.jpeg,o,0.0796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,71.866,73.8655,n,0,73.8655,73.8656,,0,,,73.8656,73.8658,,73.8658,73.8658,,0,15,15,15,1,cvmt/test_items/t16.jpeg,o,1.1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,73.866,75.8653,o,1,75.8653,75.8655,,0,,,75.8655,75.8656,,75.8656,75.8657,,0,16,16,16,1,cvmt/test_items/t17.jpeg,o,0.5936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,75.8658,77.8654,n,0,77.8654,77.8655,,0,,,77.8655,77.8657,,77.8657,77.8658,,0,17,17,17,1,cvmt/test_items/t18.jpeg,o,0.2944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,77.8658,79.8654,o,0,79.8654,79.8655,,0,,,79.8656,79.8657,,79.8657,79.8657,,0,18,18,18,1,cvmt/test_items/t19.jpeg,n,0.6083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,79.8659,81.8653,o,1,81.8653,81.8654,,0,,,81.8654,81.8657,,81.8657,81.8657,,0,19,19,19,1,cvmt/test_items/t20.jpeg,o,0.3363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,81.8659,83.8653,n,0,83.8653,83.8654,,0,,,83.8654,83.8658,,83.8658,83.8658,,0,20,20,20,1,cvmt/test_items/t21.jpeg,o,0.2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
