word,img,sentence,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,target,foils,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,S2_vtest_fb.stopped,S2_vtest_eval.started,S2_v_phase_end.started,S2_v_phase_end.keys,S2_v_phase_end.rt,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,sent_Prax_P_img.started,sent_Prax_P_img.stopped,blankITI_2.stopped,S2_sentPrax_P_key_resp.started,S2_sentPraxP_resp,S2_sentPraxP_rts,sent_Prax_P_img_3.started,sent_Prax_P_text.started,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.77857789999689,lu blom,"[0.45904019998852164, 0.1739839000219945, 0.5670536999823526, 0.3520659000205342, 0.6230041999660898, 0.5283168000460137, 0.7526630999636836, 0.7323975000472274]",43.77857789999689,43.77857789999689,43.77857789999689,"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return']","[0.45904019998852164, 0.6330241000105161, 0.741037600004347, 0.9191196000028867, 0.975070099986624, 1.1513210000121035, 1.2809799000096973, 1.485060600010911]",45.274835799995344,46.28209130000323,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,3,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28209130000323,lu vode,"[0.6175804999948014, 0.1919511000160128, 0.7236044000019319, 0.360034600016661, 0.8698164999950677, 0.4297558999969624, 1.0257050000072923, 0.5778213999874424]",46.28209130000323,46.28209130000323,46.28209130000323,"['l', 'u', 'space', 'v', 'o', 'd', 'e', 'return']","[0.6175804999948014, 0.8095316000108141, 0.9155555000179447, 1.083639000018593, 1.2298511000117287, 1.2995723999920301, 1.4554609000042547, 1.6035263999947347]",47.89296950001153,48.90203540000948,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,4,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.90203540000948,lu troise,"[0.643546300008893, 0.31202009998378344, 0.8835529000207316, 0.5279021999740507, 1.0095943000342231, 0.7522898999741301, 1.1853857000241987, 0.8260136999888346, 1.3156174000177998, 0.8440256999747362, 1.4416500000224914, 1.0259387999831233]",48.90203540000948,48.90203540000948,48.90203540000948,"['u', 'backspace', 'l', 'u', 'space', 't', 'r', 'o', 'i', 's', 'e', 'return']","[0.643546300008893, 0.9555663999926765, 1.195573000004515, 1.4114550999947824, 1.5374965000082739, 1.7618842000083532, 1.9376755999983288, 2.0113994000130333, 2.1416311000066344, 2.159643099992536, 2.2856756999972276, 2.4675888000056148]",51.37771810000413,52.383863299997756,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,5,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.383863299997756,lu neimo,"[0.3716705999977421, 0.18198490000213496, 0.49186929999268614, 0.35385660000611097, 0.5858901999890804, 0.4456744000199251, 0.712163199990755, 0.6135605000017677, 0.8922065999940969]",52.383863299997756,52.383863299997756,52.383863299997756,"['l', 'u', 'space', 'n', 'e', 'i', 'm', 'o', 'return']","[0.3716705999977421, 0.5536554999998771, 0.6738541999948211, 0.8457258999987971, 0.9397467999951914, 1.0315646000090055, 1.15783760001068, 1.3257236999925226, 1.5057670999958646]",53.89884609999717,54.90192420000676,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.90192420000676,54.90192420000676,f,0.9177621999988332,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
,brocanto/stims/to_use/sentence31.png,lu pleck nim li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.82612539999536,55.82612539999536,56.76786359999096,56.76786359999096,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
,brocanto/stims/to_use/sentence65.png,yab lu neimo lu vode,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.36896849999903,63.36896849999903,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
,brocanto/stims/to_use/sentence63.png,yab lu neimo lu neep,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.97241539999959,69.97241539999959,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
,brocanto/stims/to_use/sentence68.png,lu neep praz li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.5716892000055,76.5716892000055,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
,brocanto/stims/to_use/sentence39.png,yab lu pleck lu vode,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1705021999951,83.1705021999951,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
