load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,141.502,143.501,o,1,0.843,,143.501,143.501,,0,143.501,143.501,,143.501,143.502,,0,14,14,14,1,cvmt/test_items/t15.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,143.502,145.499,o,1,1.565,,145.499,145.499,,0,145.499,145.499,,145.499,145.499,,0,15,15,15,1,cvmt/test_items/t16.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,145.499,147.501,n,0,0.803,,147.501,147.501,,0,147.501,147.502,,147.502,147.502,,0,16,16,16,1,cvmt/test_items/t17.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,147.503,149.501,n,0,0.775,,149.501,149.502,,0,149.502,149.502,,149.502,149.503,,0,17,17,17,1,cvmt/test_items/t18.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,149.503,151.5,n,1,0.59,,151.5,151.5,,0,151.5,151.5,,151.5,151.5,,0,18,18,18,1,cvmt/test_items/t19.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,151.501,153.499,n,0,1.33,,153.499,153.499,,0,153.499,153.499,,153.499,153.499,,0,19,19,19,1,cvmt/test_items/t20.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,153.499,155.5,n,0,0.706,,155.5,155.5,,0,155.5,155.5,,155.5,155.5,,0,20,20,20,1,cvmt/test_items/t21.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,155.5,157.5,n,0,1.741,,157.5,157.5,,0,157.5,157.5,,157.5,157.5,,0,21,21,21,1,cvmt/test_items/t22.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,157.5,159.5,n,1,0.873,,159.5,159.5,,0,159.5,159.5,,159.5,159.5,,0,22,22,22,1,cvmt/test_items/t23.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,159.5,161.5,n,1,1.07,,161.5,161.501,,0,161.501,161.501,,161.501,161.501,,0,23,23,23,1,cvmt/test_items/t24.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,161.502,163.5,o,1,0.769,,163.5,163.501,,0,163.501,163.501,,163.501,163.501,,0,24,24,24,1,cvmt/test_items/t25.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,163.502,165.5,n,1,0.752,,165.5,165.5,,0,165.5,165.501,,165.501,165.501,,0,25,25,25,1,cvmt/test_items/t26.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,165.501,167.499,o,1,1.048,,167.499,167.499,,0,167.499,167.499,,167.499,167.499,,0,26,26,26,1,cvmt/test_items/t27.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,167.499,169.5,n,1,0.585,,169.5,169.501,,0,169.501,169.501,,169.501,169.501,,0,27,27,27,1,cvmt/test_items/t28.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,169.501,171.498,n,1,1.029,,171.498,171.499,,0,171.499,171.499,,171.499,171.499,,0,28,28,28,1,cvmt/test_items/t29.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,171.499,173.5,n,0,1.226,,173.5,173.5,,0,173.5,173.501,,173.501,173.501,,0,29,29,29,1,cvmt/test_items/t30.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,173.501,175.5,,0,,,175.5,175.567,n,0,175.567,175.567,,175.567,175.567,,0,30,30,30,1,cvmt/test_items/t31.jpeg,o,,,,,0.028,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,175.567,177.567,n,1,1.715,,177.567,177.567,,0,177.567,177.567,,177.567,177.567,,0,31,31,31,1,cvmt/test_items/t32.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,177.567,179.566,n,1,0.797,,179.566,179.566,,0,179.566,179.566,,179.566,179.566,,0,32,32,32,1,cvmt/test_items/t33.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,179.567,181.567,o,1,0.701,,181.567,181.567,,0,181.567,181.567,,181.567,181.567,,0,33,33,33,1,cvmt/test_items/t34.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,181.568,183.564,n,1,0.829,,183.564,183.564,,0,183.564,183.564,,183.564,183.564,,0,34,34,34,1,cvmt/test_items/t35.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,183.564,185.565,o,1,0.712,,185.565,185.565,,0,185.565,185.565,,185.565,185.565,,0,35,35,35,1,cvmt/test_items/t36.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,185.565,187.564,n,1,0.901,,187.564,187.564,,0,187.564,187.564,,187.564,187.564,,0,36,36,36,1,cvmt/test_items/t37.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,187.565,189.566,o,1,0.872,,189.566,189.566,,0,189.566,189.566,,189.566,189.566,,0,37,37,37,1,cvmt/test_items/t38.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,189.566,191.564,n,1,0.625,,191.564,191.564,,0,191.564,191.564,,191.564,191.564,,0,38,38,38,1,cvmt/test_items/t39.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,191.564,193.567,o,1,1.036,,193.567,193.567,,0,193.567,193.568,,193.568,193.568,,0,39,39,39,1,cvmt/test_items/t40.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,193.568,195.564,n,1,0.68,,195.564,195.564,,0,195.564,195.564,,195.564,195.564,,0,40,40,40,1,cvmt/test_items/t41.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,195.565,197.564,o,1,0.737,,197.564,197.565,,0,197.565,197.565,,197.565,197.565,,0,41,41,41,1,cvmt/test_items/t42.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,197.565,199.567,o,1,0.987,,199.567,199.567,,0,199.567,199.567,,199.567,199.567,,0,42,42,42,1,cvmt/test_items/t43.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,199.567,201.566,n,1,0.578,,201.566,201.566,,0,201.566,201.566,,201.566,201.566,,0,43,43,43,1,cvmt/test_items/t44.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,201.566,203.567,n,0,1.781,,203.567,203.567,,0,203.567,203.567,,203.567,203.567,,0,44,44,44,1,cvmt/test_items/t45.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,203.567,205.57,o,1,0.608,,205.57,205.57,,0,205.57,205.571,,205.571,205.571,,0,45,45,45,1,cvmt/test_items/t46.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,205.571,207.566,,0,,,207.566,207.649,o,1,207.649,207.65,,207.65,207.65,,0,46,46,46,1,cvmt/test_items/t47.jpeg,o,,,,,0.069,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,207.65,209.648,n,1,1.605,,209.648,209.648,,0,209.648,209.649,,209.649,209.649,,0,47,47,47,1,cvmt/test_items/t48.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,209.649,211.648,o,1,0.665,,211.648,211.648,,0,211.648,211.648,,211.648,211.648,,0,48,48,48,1,cvmt/test_items/t49.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,211.648,213.649,n,0,1.284,,213.649,213.649,,0,213.649,213.65,,213.65,213.65,,0,49,49,49,1,cvmt/test_items/t50.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
