load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,72.0085,74.0048,,0,,,74.0049,75.0536,o,0,75.0538,75.0547,,75.0547,75.0548,,0,22,22,22,1,cvmt/test_items/t23.jpeg,n,1.0313,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,75.0552,77.0509,n,1,0.9165,,77.051,77.0512,,0,77.0512,77.0517,,77.052,77.052,,0,23,23,23,1,cvmt/test_items/t24.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,77.0525,79.049,o,1,0.6924,,79.049,79.0494,,0,79.0494,79.0499,,79.0499,79.05,,0,24,24,24,1,cvmt/test_items/t25.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,79.0505,81.0464,n,1,1.3352,,81.0465,81.0467,,0,81.0468,81.0473,,81.0473,81.0473,,0,25,25,25,1,cvmt/test_items/t26.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,81.0477,83.0442,o,1,0.7982,,83.0443,83.0445,,0,83.0445,83.045,,83.0451,83.0451,,0,26,26,26,1,cvmt/test_items/t27.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,83.0455,85.0418,o,0,0.6623,,85.0419,85.0421,,0,85.0422,85.0426,,85.0427,85.0428,,0,27,27,27,1,cvmt/test_items/t28.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,85.0431,87.0393,n,1,0.6512,,87.0393,87.0397,,0,87.0397,87.0402,,87.0403,87.0404,,0,28,28,28,1,cvmt/test_items/t29.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,87.0407,89.0368,n,0,0.4124,,89.0369,89.0377,,0,89.0378,89.0384,,89.0385,89.0387,,0,29,29,29,1,cvmt/test_items/t30.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,89.039,91.0342,o,1,0.9237,,91.0342,91.0345,,0,91.0345,91.0351,,91.0352,91.0354,,0,30,30,30,1,cvmt/test_items/t31.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,91.0359,93.0321,o,0,0.5197,,93.0321,93.0325,,0,93.0326,93.0332,,93.0333,93.0334,,0,31,31,31,1,cvmt/test_items/t32.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,93.0337,95.0294,o,0,0.6696,,95.0295,95.0297,,0,95.0298,95.0303,,95.0303,95.0304,,0,32,32,32,1,cvmt/test_items/t33.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,95.0308,97.0269,o,1,0.8216,,97.027,97.0273,,0,97.0274,97.0279,,97.0279,97.028,,0,33,33,33,1,cvmt/test_items/t34.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,97.0283,99.0245,n,1,0.8535,,99.0246,99.0249,,0,99.0249,99.0257,,99.0258,99.0259,,0,34,34,34,1,cvmt/test_items/t35.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,99.0263,101.023,o,1,0.6199,,101.023,101.0235,,0,101.0235,101.0242,,101.0242,101.0243,,0,35,35,35,1,cvmt/test_items/t36.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,101.0246,103.0196,n,1,0.3445,,103.0197,103.02,,0,103.0201,103.0206,,103.0207,103.0207,,0,36,36,36,1,cvmt/test_items/t37.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,103.0212,105.0172,n,0,0.3119,,105.0172,105.0176,,0,105.0177,105.0183,,105.0184,105.0186,,0,37,37,37,1,cvmt/test_items/t38.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,105.019,107.0147,n,1,0.5488,,107.0148,107.015,,0,107.015,107.0156,,107.0156,107.0157,,0,38,38,38,1,cvmt/test_items/t39.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,107.016,109.0125,o,1,0.6537,,109.0125,109.0129,,0,109.0129,109.0137,,109.0139,109.0139,,0,39,39,39,1,cvmt/test_items/t40.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,109.0147,111.01,n,1,0.642,,111.01,111.0103,,0,111.0104,111.0109,,111.0109,111.0109,,0,40,40,40,1,cvmt/test_items/t41.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,111.0113,113.0078,o,1,0.5025,,113.0079,113.0082,,0,113.0082,113.0087,,113.0088,113.0088,,0,41,41,41,1,cvmt/test_items/t42.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,113.0092,115.0051,o,1,0.4672,,115.0052,115.0054,,0,115.0055,115.0061,,115.0062,115.0063,,0,42,42,42,1,cvmt/test_items/t43.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,115.0067,117.0027,n,1,0.7589,,117.0027,117.003,,0,117.0031,117.0036,,117.0036,117.0041,,0,43,43,43,1,cvmt/test_items/t44.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,117.0045,119.0001,n,0,0.8235,,119.0002,119.0004,,0,119.0005,119.001,,119.001,119.0011,,0,44,44,44,1,cvmt/test_items/t45.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,119.0014,120.9978,o,1,0.6032,,120.9978,120.9981,,0,120.9982,120.9987,,120.9987,120.9988,,0,45,45,45,1,cvmt/test_items/t46.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,120.9993,122.9954,o,1,0.7238,,122.9954,122.9956,,0,122.9957,122.9962,,122.9963,122.9965,,0,46,46,46,1,cvmt/test_items/t47.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,122.9969,124.9928,n,1,1.0355,,124.9929,124.993,,0,124.9931,124.9936,,124.9936,124.9938,,0,47,47,47,1,cvmt/test_items/t48.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,124.9943,126.9907,o,1,0.7751,,126.9908,126.991,,0,126.9911,126.9917,,126.9917,126.9918,,0,48,48,48,1,cvmt/test_items/t49.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,126.9921,128.9882,o,1,0.7246,,128.9883,128.9885,,0,128.9885,128.9893,,128.9893,128.9895,,0,49,49,49,1,cvmt/test_items/t50.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,128.99,130.9855,o,0,0.6374,,130.9855,130.9857,,0,130.9857,130.9862,,130.9863,130.9864,,0,50,50,50,1,cvmt/test_items/t51.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,130.9867,132.9832,o,1,0.6918,,132.9832,132.9835,,0,132.9836,132.984,,132.984,132.9841,,0,51,51,51,1,cvmt/test_items/t52.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
