load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,key_resp_15.rt,key_resp_15.duration,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,543.0523,545.049,,0,545.049,550.2132,o,1,5.149,,550.2132,550.226,,550.226,550.2262,,0,127,127,127,1,cvmt/test_items/t128.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,550.2263,552.2148,o,1,552.2149,552.2173,,0,,,552.2174,552.2176,,552.2176,552.2177,,0,128,128,128,1,cvmt/test_items/t129.jpeg,o,,,0.4251,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,552.2178,554.2143,o,1,554.2143,554.2145,,0,,,554.2145,554.2151,,554.2151,554.2151,,0,129,129,129,1,cvmt/test_items/t130.jpeg,o,,,0.9047,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,554.2154,556.214,o,0,556.214,556.2142,,0,,,556.2142,556.2146,,556.2147,556.2147,,0,130,130,130,1,cvmt/test_items/t131.jpeg,n,,,0.1379,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,556.215,558.2139,o,1,558.2139,558.2141,,0,,,558.2141,558.2147,,558.2147,558.2148,,0,131,131,131,1,cvmt/test_items/t132.jpeg,o,,,0.9866,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,558.2151,560.2139,o,1,560.2139,560.2141,,0,,,560.2142,560.2145,,560.2145,560.2146,,0,132,132,132,1,cvmt/test_items/t133.jpeg,o,,,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,560.2149,562.2117,o,1,562.2118,562.212,,0,,,562.212,562.2124,,562.2125,562.2126,,0,133,133,133,1,cvmt/test_items/t134.jpeg,o,,,0.0641,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,562.2128,564.2136,o,1,564.2136,564.2139,,0,,,564.2139,564.2143,,564.2143,564.2144,,0,134,134,134,1,cvmt/test_items/t135.jpeg,o,,,0.4066,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.2149,564.2152,0.0003,564.2297,572.1129,space,7.2704,,572.1236,578.0513,4,5.9132,0,0,0,0,1,1,1,WOV,8B,Practiced the virtuoso many pieces.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.0518,589.0284,4.9,10.9669,0,1,1,1,1,1,2,AS,6A,The rickety old boat sank.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0289,591.8793,7,2.8483,0,2,2,2,1,1,3,WO,6A,The waiter set the table promptly.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.8796,599.5783,1,7.6962,0,3,3,3,1,1,4,control,12B,They anticipate that everybody you do will contact Megan.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.5786,602.2292,7,2.6489,0,4,4,4,1,1,5,ASV,11B,The cat moved himself away.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.2295,608.3292,1,6.0907,0,5,5,5,1,1,6,ASV,7B,She laughed herself at the dog.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.3296,611.7288,6.9,3.3878,0,6,6,6,1,1,7,AS,5A,The professor cried about the article.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.7292,614.6784,6.9,2.939,0,7,7,7,1,1,8,WO,5A,My sibling expected a good grade.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.6789,624.4776,6,9.7958,0,8,8,8,1,1,9,filler,1A,There has been a man considered violent.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.4779,627.1119,6.9,2.6258,0,9,9,9,1,1,10,AS,2A,Taylor subscribed to the channel.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.1122,634.0778,1,6.9618,0,10,10,10,1,1,11,control,10B,There might fossils seem to be several miles underground.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.078,637.3794,6.9,3.291,0,11,11,11,1,1,12,ASV,8B,Esperanza sighed herself at the desk.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.3798,641.7122,1.1,4.3301,0,12,12,12,1,1,13,WOV,9B,Read we five pages each night.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.7126,644.2447,1.1,2.5228,0,13,13,13,1,1,14,WOV,7B,Frightened the eerie sound Seth.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.2451,646.7461,7,2.4886,0,14,14,14,1,1,15,filler,2A,"Arty is sick, and Mark is too."
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.7465,649.1624,7,2.414,0,15,15,15,1,1,16,ASV,9B,The prime minister confessed herself to bribery.
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.1627,653.5624,4.9,4.388,0,16,16,16,1,1,17,control,7B,Olivia told Gregory when to exonerate herself.
