word,img,sentence,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxC_trials.thisRepN,S2_sentPraxC_trials.thisTrialN,S2_sentPraxC_trials.thisN,S2_sentPraxC_trials.thisIndex,target,foils,load_text.started,ajt_instr.started,start_ajt.started,start_ajt.keys,start_ajt.rt,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,S2_vtest_fb.stopped,S2_vtest_eval.started,S2_v_phase_end.started,S2_v_phase_end.keys,S2_v_phase_end.rt,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_C_instr_text.started,comp_target1.started,comp_target2.started,comp_target3.started,comp_target4.started,sentPrax_C_begin.started,blankITI.started,sentPrax_trg_sent.started,blankITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu blom,"[0.5454361438751221, 0.5334160327911377, 0.7717530727386475, 0.7306718826293945, 0.9191691875457764, 0.9508728981018066, 1.0798730850219727, 1.2743079662322998]",82.07084608078003,82.07084608078003,82.07084608078003,"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return']","[0.5454361438751221, 1.0788521766662598, 1.3051691055297852, 1.502424955368042, 1.649841070175171, 1.870042085647583, 2.0307459831237793, 2.3541810512542725]",84.44989109039307,86.44086217880249,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,3,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu vode,"[0.9269680976867676, 0.5475289821624756, 1.2249741554260254, 0.8400089740753174, 1.5032200813293457, 1.0565969944000244, 1.634721040725708, 1.1832880973815918, 1.8156850337982178, 1.4536309242248535]",86.44086217880249,86.44086217880249,86.44086217880249,"['l', 'u', 'backspace', 'l', 'u', 'space', 'v', 'o', 'd', 'e', 'return']","[0.6111209392547607, 0.9269680976867676, 1.4744970798492432, 1.772503137588501, 2.0649831295013428, 2.343229055404663, 2.55981707572937, 2.6913180351257324, 2.8180091381073, 2.9989731311798096, 3.2693159580230713]",89.73290014266968,91.29579615592957,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,4,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu troise,"[0.5866818428039551, 0.5657551288604736, 0.9055569171905518, 0.8029859066009521, 1.0868010520935059, 0.9467179775238037, 1.2825548648834229, 1.0512101650238037, 1.428940773010254, 1.347377061843872]",91.29579615592957,91.29579615592957,91.29579615592957,"['l', 'u', 'space', 't', 'r', 'o', 'i', 's', 'e', 'return']","[0.5866818428039551, 1.1524369716644287, 1.4713120460510254, 1.708542823791504, 1.889786958694458, 2.0335190296173096, 2.2292728424072266, 2.3337650299072266, 2.4801509380340576, 2.776317834854126]",94.0993230342865,95.1248881816864,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,5,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu neimo,"[0.5113358497619629, 0.31995606422424316, 0.6535627841949463, 0.4550762176513672, 0.7900598049163818, 0.6136751174926758, 0.9853308200836182, 0.8032610416412354, 1.2731568813323975]",95.1248881816864,95.1248881816864,95.1248881816864,"['l', 'u', 'space', 'n', 'e', 'i', 'm', 'o', 'return']","[0.5113358497619629, 0.831291913986206, 0.9735188484191895, 1.1086390018463135, 1.245136022567749, 1.4037349224090576, 1.599005937576294, 1.7885918617248535, 2.076417922973633]",97.23244619369507,98.23238515853882,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.23238515853882,98.23238515853882,f,1.433973789215088,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence1.png,lu pleck nim li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6991400718689,99.6991400718689,100.99360918998718,100.99360918998718,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence65.png,yab lu neimo lu vode,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.64376401901245,107.64376401901245,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence63.png,yab lu neimo lu neep,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.22681999206543,114.22681999206543,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence68.png,lu neep praz li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.80002498626709,120.80002498626709,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence39.png,yab lu pleck lu vode,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.41492819786072,127.41492819786072,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence14.png,klin lu blom lu troise,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.98305797576904,133.98305797576904,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence105.png,lu blom zayma li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.5937831401825,140.5937831401825,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
