load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration
0.0012,0.0074,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,0.0226,4.6913,4.6994,5.1711,5.2146,7.1733,n,1,1.3782,,7.1741,8.157,n,1,0.9561,,8.1584,8.1746,,8.1751,8.1766,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,8.1784,10.1756,n,1,0.646,,10.1764,10.1809,,0,,,10.1817,10.1834,,10.1841,10.1854,,0,1,1,1,1,cvmt/sample/s2.jpg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,10.1872,12.1897,n,0,0.6802,,12.1912,12.1932,,0,,,12.194,17.1223,c,17.1234,17.125,,0,2,2,2,1,cvmt/sample/s3.jpg,o,4.9093,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,17.1382,19.1407,n,1,0.9484,,19.142,19.1468,,0,,,19.1477,19.1509,,19.1516,19.153,,0,3,3,3,1,cvmt/sample/s4.jpg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,19.1554,21.1567,n,1,0.6168,,21.158,21.1604,,0,,,21.1612,21.1632,,21.164,21.1655,,0,4,4,4,1,cvmt/sample/s5.jpg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,21.1681,23.1586,n,1,0.4177,,23.1596,23.1615,,0,,,23.1623,23.1642,,23.165,23.1667,,0,5,5,5,1,cvmt/sample/s6.jpg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,23.169,25.1728,n,0,0.3013,,25.1741,25.1761,,0,,,25.1769,26.7568,c,26.7578,26.7594,,0,6,6,6,1,cvmt/sample/s7.jpg,o,1.5623,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,26.7621,28.7549,n,1,1.1532,,28.7554,28.7576,,0,,,28.758,28.7599,,28.7603,28.7612,,0,7,7,7,1,cvmt/sample/s8.jpg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,28.7626,30.7578,n,1,0.7089,,30.7588,30.7606,,0,,,30.7613,30.7633,,30.764,30.7657,,0,8,8,8,1,cvmt/sample/s9.jpg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,30.7682,32.7575,n,1,0.2945,,32.7581,32.7593,,0,,,32.7598,32.7612,,32.7618,32.7627,,0,9,9,9,1,cvmt/sample/s10.jpg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,32.7643,34.7573,n,0,0.3193,,34.7585,34.7607,,0,,,34.7615,36.2405,c,36.2418,42.271,c,0,10,10,10,1,cvmt/sample/s11.jpg,o,1.4636,,6.0017,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,42.2737,43.173,43.1897,45.1893,n,1,1.5766,,45.1893,45.1896,,0,,,45.1897,45.1913,,45.1914,45.1923,,0,0,0,0,1,cvmt/test_items/t1.jpeg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,45.1926,47.1895,n,1,0.3711,,47.1896,47.1897,,0,,,47.1898,47.1902,,47.1902,47.1905,,0,1,1,1,1,cvmt/test_items/t2.jpeg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,47.1907,49.1887,n,0,0.2938,,49.1888,49.1889,,0,,,49.1889,49.1894,,49.1894,49.1894,,0,2,2,2,1,cvmt/test_items/t3.jpeg,o,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,49.1898,51.1872,n,0,0.2671,,51.1872,51.1874,,0,,,51.1874,51.1878,,51.1879,51.1879,,0,3,3,3,1,cvmt/test_items/t4.jpeg,o,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,51.1882,53.1877,n,0,0.323,,53.1878,53.1879,,0,,,53.188,53.1884,,53.1885,53.1885,,0,4,4,4,1,cvmt/test_items/t5.jpeg,o,,,,
